Plate,Well,Part,Plasmid,Resistance,Well Status,Type,Sequencing,Short Description,Genbank File,Comments,Source,Subparts
Plate 1,1K,BBa_K314201,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),Antitoxin Tsi2,https://synbiohub.org/public/igem/BBa_K314201/1/gb,,iGEM10_Washington,1
Plate 1,1L,BBa_K808010,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),tphB: reaction from DCD to protocatechuate,https://synbiohub.org/public/igem/BBa_K808010/1/gb,,iGEM12_TU_Darmstadt,1
Plate 1,1M,BBa_K314202,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),Toxin+ Antitoxin-Tse2 + Tsi2,https://synbiohub.org/public/igem/BBa_K314202/1/gb,,iGEM10_Washington,1
Plate 1,1N,BBa_K808011,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),tphA1: reduces the tphA2A3 complex,https://synbiohub.org/public/igem/BBa_K808011/1/gb,,iGEM12_TU_Darmstadt,1
Plate 1,1O,BBa_K346002,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),PmerT promoter (mercury-responsive),https://synbiohub.org/public/igem/BBa_K346002/1/gb,PmerT promoter,iGEM10_Peking,1
Plate 1,1P,BBa_K808013,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),tphA3: Catalyzes together with tphA2 TPA to DCD,https://synbiohub.org/public/igem/BBa_K808013/1/gb,,iGEM12_TU_Darmstadt,1
Plate 1,2A,BBa_K548000,pSB1C3,chloramphenicol,OK,Signalling,Confirmed(A),Humanized Aequorin,https://synbiohub.org/public/igem/BBa_K548000/1/gb,,iGEM11_Penn,1
Plate 1,2B,BBa_K325210,pSB1C3,chloramphenicol,OK,Reporter,Long part(A),Red Firefly Luciferase and LRE<BR><i>L. Cruciata<BR>(E. coli optimised)</i>,https://synbiohub.org/public/igem/BBa_K325210/1/gb,,iGEM10_Cambridge,1
Plate 1,2C,BBa_K648028,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),Cro  Lamda Repressor which activates the lytic cycle,https://synbiohub.org/public/igem/BBa_K648028/1/gb,,iGEM11_Penn_State,1
Plate 1,2D,BBa_K325219,pSB1C3,chloramphenicol,OK,Generator,Inconsistent(A),Red Firefly Luciferase and LRE (under pBAD)<BR><i>L. Cruciata<BR>(E. coli optimised)</i>,https://synbiohub.org/public/igem/BBa_K325219/1/gb,,iGEM10_Cambridge,2
Plate 1,2E,BBa_K648029,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),OR  operating region for Lambda switch,https://synbiohub.org/public/igem/BBa_K648029/1/gb,,iGEM11_Penn_State,1
Plate 1,2F,BBa_K325108,pSB1C3,chloramphenicol,OK,Generator,Long part(A),EPIC Firefly Luciferase (under pBAD)<BR><i>P. Pyralis<BR>(E. coli optimised)</i>,https://synbiohub.org/public/igem/BBa_K325108/1/gb,,iGEM10_Cambridge,2
Plate 1,2G,BBa_K530015,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),FCY2 Yeast Promoter,https://synbiohub.org/public/igem/BBa_K530015/1/gb,,iGEM11_Johns_Hopkins,1
Plate 1,2H,BBa_K325209,pSB1C3,chloramphenicol,OK,Generator,Long part(A),Green Firefly Luciferase and LRE (under pBAD)<BR><i>L. Cruciata<BR>(E. coli optimised)</i>,https://synbiohub.org/public/igem/BBa_K325209/1/gb,,iGEM10_Cambridge,1
Plate 1,2I,BBa_K530019,pSB1C3,chloramphenicol,OK,Terminator,Confirmed(A),HHO1 Yeast UTR,https://synbiohub.org/public/igem/BBa_K530019/1/gb,,iGEM11_Johns_Hopkins,1
Plate 1,2J,BBa_K325259,pSB1C3,chloramphenicol,OK,Generator,Long part(A),Yellow Firefly Luciferase (under pBAD)<BR><i>L. Cruciata<BR>(E. coli optimised)</i>,https://synbiohub.org/public/igem/BBa_K325259/1/gb,,iGEM10_Cambridge,1
Plate 1,2K,BBa_K530025,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),Vtc2,https://synbiohub.org/public/igem/BBa_K530025/1/gb,,iGEM11_Johns_Hopkins,1
Plate 1,2L,BBa_K325903,pSB1C3,chloramphenicol,OK,Generator,Long part(A),luxEG <BR><i>V. Fischeri<BR>(E. coli optimised)</i>,https://synbiohub.org/public/igem/BBa_K325903/1/gb,,iGEM10_Cambridge,1
Plate 1,2M,BBa_K542003,pSB1C3,chloramphenicol,OK,Inverter,Confirmed(A),pBAD Regulated TetR,https://synbiohub.org/public/igem/BBa_K542003/1/gb,,iGEM11_Lethbridge,5
Plate 1,2N,BBa_K316027,pSB1C3,chloramphenicol,OK,Composite,Bad Sequencing(A),B.subtilis transformation vector with LacI,https://synbiohub.org/public/igem/BBa_K316027/1/gb,,iGEM10_Imperial_College_London,14
Plate 1,2O,BBa_K542010,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),Enhanced Lumazine Synthase (ELS),https://synbiohub.org/public/igem/BBa_K542010/1/gb,,iGEM11_Lethbridge,1
Plate 1,2P,BBa_K415023,pSB1C3,chloramphenicol,OK,Composite,Long part(A),pLux-Lac:GFP:Term:Term:PluxR/cI-OR :mCherry:Term:PtetR:LuxR:Term:Plux/cI-OR:LuxI,https://synbiohub.org/public/igem/BBa_K415023/1/gb,,iGEM10_MIT,18
Plate 1,3A,BBa_K346004,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),RBS(B0034)_MBP(lead metal binding peptide egineered from PbrR)+Terminator(B0015),https://synbiohub.org/public/igem/BBa_K346004/1/gb,RBS(B0034)_MBP(lead metal binding peptide egineered from MerR)+Terminator(B0015),iGEM10_Peking,1
Plate 1,3B,BBa_K823042,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),PsspK promoter regulated by sigma G,https://synbiohub.org/public/igem/BBa_K823042/1/gb,,iGEM12_LMU-Munich,1
Plate 1,3C,BBa_K316003,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),XylE - catechol 2 3-dioxygenase from P.putida with terminator,https://synbiohub.org/public/igem/BBa_K316003/1/gb,,iGEM10_Paris_Liliane_Bettencourt,3
Plate 1,3D,BBa_K823017,pSB1C3,chloramphenicol,OK,Terminator,Confirmed(A),double terminator (B0012-B0011),https://synbiohub.org/public/igem/BBa_K823017/1/gb,,iGEM12_LMU-Munich,2
Plate 1,3E,BBa_K523000,pSB1C3,chloramphenicol,OK,Reporter,Confirmed(A),"Plac + lacZ  with BglII site"",",https://synbiohub.org/public/igem/BBa_K523000/1/gb,,iGEM11_Edinburgh,1
Plate 1,3F,BBa_K817018,pSB1C3,chloramphenicol,OK,Device,Confirmed(A),gamma-delta resolvase cassette,https://synbiohub.org/public/igem/BBa_K817018/1/gb,,iGEM12_NTU-Taida,1
Plate 1,3G,BBa_K538104,pSB1C3,chloramphenicol,OK,Translational_Unit,Confirmed(A),RBS + CspC,https://synbiohub.org/public/igem/BBa_K538104/1/gb,,iGEM11_Amsterdam,2
Plate 1,3H,BBa_K873002,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),HSP promoter,https://synbiohub.org/public/igem/BBa_K873002/1/gb,,iGEM12_SEU_A,1
Plate 1,3I,BBa_K538004,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),CspC (P. irgensii),https://synbiohub.org/public/igem/BBa_K538004/1/gb,,iGEM11_Amsterdam,1
Plate 1,3J,BBa_S05060,pSB1C3,chloramphenicol,OK,Intermediate,Confirmed(A),K873000:B0015,https://synbiohub.org/public/igem/BBa_S05060/1/gb,,iGEM12_SEU_A,3
Plate 1,3K,BBa_K538000,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),Cpn10 (O. antarctica),https://synbiohub.org/public/igem/BBa_K538000/1/gb,,iGEM11_Amsterdam,1
Plate 1,3L,BBa_K774001,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),Mammalian-Bacterial Promoter: E9-ns2 CArG promoter sequence + BHN + BBaK216005,https://synbiohub.org/public/igem/BBa_K774001/1/gb,,iGEM12_NRP_UEA-Norwich,1
Plate 1,3M,BBa_K525998,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),Promoter T7 and RBS,https://synbiohub.org/public/igem/BBa_K525998/1/gb,,iGEM11_Bielefeld-Germany,1
Plate 1,3N,BBa_K748002,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),Truncated lysostaphin coding sequence. Lysostaphin has has a specific lytic action against S.aureus.,https://synbiohub.org/public/igem/BBa_K748002/1/gb,,iGEM12_HIT-Harbin,1
Plate 1,3O,BBa_K608002,pSB1C3,chloramphenicol,OK,Intermediate,Confirmed(A),strong Promoter and strong RBS,https://synbiohub.org/public/igem/BBa_K608002/1/gb,,iGEM11_BIO_Freiburg,2
Plate 1,3P,BBa_S05048,pSB1C3,chloramphenicol,OK,Intermediate,Confirmed(A),B0034:K748000,https://synbiohub.org/public/igem/BBa_S05048/1/gb,,iGEM12_HIT-Harbin,2
Plate 1,4A,BBa_K331022,pSB1C3,chloramphenicol,OK,Composite,Bad Sequencing(A),RBS with N-terminal Oligo Arginine - EYFP Fusion,https://synbiohub.org/public/igem/BBa_K331022/1/gb,,iGEM11_Lethbridge,2
Plate 1,4B,BBa_K381001,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),Nitrate reporter: PyeaR - GFP composite,https://synbiohub.org/public/igem/BBa_K381001/1/gb,,iGEM10_BCCS-Bristol,5
Plate 1,4C,BBa_K331024,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),RBS with N-terminal Oligo Arginine - ECFP Fusion,https://synbiohub.org/public/igem/BBa_K331024/1/gb,,iGEM11_Lethbridge,2
Plate 1,4D,BBa_K314103,pSB1C3,chloramphenicol,OK,Composite,Long part(A),Lac induced expression cassette,https://synbiohub.org/public/igem/BBa_K314103/1/gb,,iGEM10_Washington,4
Plate 1,4E,BBa_K558009,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),Thiamin monophosphate pyrophosphorylase,https://synbiohub.org/public/igem/BBa_K558009/1/gb,,iGEM11_Nevada,1
Plate 1,4F,BBa_K346000,pSB1C3,chloramphenicol,OK,Translational_Unit,Long part(A),RBS(B0032)+T3 DNA-directed RNA polymerase,https://synbiohub.org/public/igem/BBa_K346000/1/gb,RBS(B0032)+T3 RNA polymerase,iGEM10_Peking,1
Plate 1,4G,BBa_K575008,pSB1C3,chloramphenicol,OK,Composite,Inconsistent(A),LasR/PAI1 Inducible Promoter + RBS (B0030) + GFP,https://synbiohub.org/public/igem/BBa_K575008/1/gb,,iGEM11_Northwestern,3
Plate 1,4H,BBa_K395602,pSB1C3,chloramphenicol,OK,Generator,Long part(A),Apple fragrance  generator,https://synbiohub.org/public/igem/BBa_K395602/1/gb,,iGEM10_Tokyo_Tech,2
Plate 1,4I,BBa_K575010,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),LasR/PAI1 Inducible Promoter + RBS (B0030) + RFP,https://synbiohub.org/public/igem/BBa_K575010/1/gb,,iGEM11_Northwestern,3
Plate 1,4J,BBa_K325218,pSB1C3,chloramphenicol,OK,Generator,Long part(A),Orange Firefly Luciferase (under pBAD)<BR><i>L. Cruciata<BR>(E. coli optimised)</i>,https://synbiohub.org/public/igem/BBa_K325218/1/gb,,iGEM10_Cambridge,2
Plate 1,4K,BBa_K575009,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),LasR/PAI1 Inducible Promoter + RBS (B0034) + GFP,https://synbiohub.org/public/igem/BBa_K575009/1/gb,,iGEM11_Northwestern,3
Plate 1,4L,BBa_K325909,pSB1C3,chloramphenicol,OK,Generator,Long part(A),Lux Operon (under pBAD)<BR><i>Vibrio Fischeri</i>,https://synbiohub.org/public/igem/BBa_K325909/1/gb,,iGEM10_Cambridge,1
Plate 1,4M,BBa_K575011,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),LasR/PAI1 Inducible Promoter + RBS (B0034) + RFP,https://synbiohub.org/public/igem/BBa_K575011/1/gb,,iGEM11_Northwestern,3
Plate 1,4N,BBa_K325100,pSB1C3,chloramphenicol,OK,Reporter,Long part(A),EPIC Firefly Luciferase and LRE <BR><i>P. Pyralis<BR>(E. coli optimised)</i>,https://synbiohub.org/public/igem/BBa_K325100/1/gb,,iGEM10_Cambridge,1
Plate 1,4O,BBa_K575012,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),RhlR/PAI2  Inducible Promoter + RBS (B0030) + GFP,https://synbiohub.org/public/igem/BBa_K575012/1/gb,,iGEM11_Northwestern,3
Plate 1,4P,BBa_K523001,pSB1C3,chloramphenicol,OK,Translational_Unit,Long part(A),"RBS + malS (E. coli periplasmic &#945 -amylase)"",",https://synbiohub.org/public/igem/BBa_K523001/1/gb,,iGEM11_Edinburgh,1
Plate 1,5A,BBa_K608003,pSB1C3,chloramphenicol,OK,Intermediate,Confirmed(A),strong Promoter   medium RBS,https://synbiohub.org/public/igem/BBa_K608003/1/gb,,iGEM11_BIO_Freiburg,2
Plate 1,5B,BBa_S05050,pSB1C3,chloramphenicol,OK,Intermediate,Confirmed(A),B0034:K748002,https://synbiohub.org/public/igem/BBa_S05050/1/gb,,iGEM12_HIT-Harbin,2
Plate 1,5C,BBa_K608004,pSB1C3,chloramphenicol,OK,Intermediate,Confirmed(A),strong Promoter   weak RBS,https://synbiohub.org/public/igem/BBa_K608004/1/gb,,iGEM11_BIO_Freiburg,2
Plate 1,5D,BBa_K819017,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),Luminesensor repressible SulA408 promoter,https://synbiohub.org/public/igem/BBa_K819017/1/gb,,iGEM12_Peking,1
Plate 1,5E,BBa_K608006,pSB1C3,chloramphenicol,OK,Intermediate,Confirmed(A),medium Promoter   medium RBS,https://synbiohub.org/public/igem/BBa_K608006/1/gb,,iGEM11_BIO_Freiburg,2
Plate 1,5F,BBa_K819010,pSB1C3,chloramphenicol,OK,Generator,Confirmed(A),Medium cheZ generator,https://synbiohub.org/public/igem/BBa_K819010/1/gb,,iGEM12_Peking,1
Plate 1,5G,BBa_K608007,pSB1C3,chloramphenicol,OK,Intermediate,Confirmed(A),medium Promoter   weak RBS,https://synbiohub.org/public/igem/BBa_K608007/1/gb,,iGEM11_BIO_Freiburg,2
Plate 1,5H,BBa_K934012,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),Plas-LuxI,https://synbiohub.org/public/igem/BBa_K934012/1/gb,PlasI-LuxI,iGEM12_Tokyo_Tech,3
Plate 1,5I,BBa_K608008,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),constitutive strong promoter with medium RBS and GFP,https://synbiohub.org/public/igem/BBa_K608008/1/gb,,iGEM11_BIO_Freiburg,3
Plate 1,5J,BBa_K934022,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),Plux-LasI,https://synbiohub.org/public/igem/BBa_K934022/1/gb,Plux-LasI,iGEM12_Tokyo_Tech,4
Plate 1,5K,BBa_K608010,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),Medium promoter with strong RBS and GFP,https://synbiohub.org/public/igem/BBa_K608010/1/gb,,iGEM11_BIO_Freiburg,3
Plate 1,5L,BBa_K934026,pSB1C3,chloramphenicol,OK,Composite,Bad Sequencing(A),Plux-LacI,https://synbiohub.org/public/igem/BBa_K934026/1/gb,Plux-LacI,iGEM12_Tokyo_Tech,5
Plate 1,5M,BBa_K608011,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),Medium promoter with medium RBS and GFP,https://synbiohub.org/public/igem/BBa_K608011/1/gb,,iGEM11_BIO_Freiburg,3
Plate 1,5N,BBa_K733001,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),<i>Ptms</i> - a constitutive promoter in <i>E. coli</i> and <i>B. subtilis</i>.,https://synbiohub.org/public/igem/BBa_K733001/1/gb,,iGEM12_HKUST_Hong_Kong,1
Plate 1,5O,BBa_K608012,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),Medium promoter with weak RBS and GFP,https://synbiohub.org/public/igem/BBa_K608012/1/gb,,iGEM11_BIO_Freiburg,3
Plate 1,5P,BBa_K733006,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),<i>ydjM</i>+<i>Bmp2</i>,https://synbiohub.org/public/igem/BBa_K733006/1/gb,,iGEM12_HKUST_Hong_Kong,1
Plate 1,6A,BBa_K575014,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),RhlR/PAI2 Inducible Promoter + RBS (B0030) + RFP,https://synbiohub.org/public/igem/BBa_K575014/1/gb,,iGEM11_Northwestern,3
Plate 1,6B,BBa_K523002,pSB1C3,chloramphenicol,OK,Translational_Unit,Long part(A),"RBS + bglX (E. coli perisplasmic &#946 -glucosidase)"",",https://synbiohub.org/public/igem/BBa_K523002/1/gb,,iGEM11_Edinburgh,1
Plate 1,6C,BBa_K575013,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),RhlR/PAI2 Inducible Promoter + RBS (B0034) + GFP,https://synbiohub.org/public/igem/BBa_K575013/1/gb,,iGEM11_Northwestern,3
Plate 1,6D,BBa_K523003,pSB1C3,chloramphenicol,OK,Coding,Long part(A),malS for BioSandwich,https://synbiohub.org/public/igem/BBa_K523003/1/gb,,iGEM11_Edinburgh,1
Plate 1,6E,BBa_K575015,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),RhlR/PAI2 Inducible Promoter + RBS (B0034) + RFP,https://synbiohub.org/public/igem/BBa_K575015/1/gb,,iGEM11_Northwestern,3
Plate 1,6F,BBa_K523004,pSB1C3,chloramphenicol,OK,Coding,Long part(A),bglX for BioSandwich,https://synbiohub.org/public/igem/BBa_K523004/1/gb,,iGEM11_Edinburgh,1
Plate 1,6G,BBa_K575020,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),Genomic LasR/PAI1 Inducible Promoter (Long),https://synbiohub.org/public/igem/BBa_K575020/1/gb,,iGEM11_Northwestern,1
Plate 1,6H,BBa_K523006,pSB1C3,chloramphenicol,OK,Composite,Long part(A),Plac + LacZ + malS,https://synbiohub.org/public/igem/BBa_K523006/1/gb,,iGEM11_Edinburgh,2
Plate 1,6I,BBa_K575021,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),Genomic LasR/PAI1 Inducible Promoter (Short),https://synbiohub.org/public/igem/BBa_K575021/1/gb,,iGEM11_Northwestern,1
Plate 1,6J,BBa_K538101,pSB1C3,chloramphenicol,OK,Translational_Unit,Long part(A),RBS + Cpn60,https://synbiohub.org/public/igem/BBa_K538101/1/gb,,iGEM11_Amsterdam,2
Plate 1,6K,BBa_K590028,pSB1C3,chloramphenicol,OK,Composite,Inconsistent(A),NPDC-PSB1C3-High constitutive,https://synbiohub.org/public/igem/BBa_K590028/1/gb,,iGEM11_Washington,4
Plate 1,6L,BBa_K525710,pSB1C3,chloramphenicol,OK,Coding,Long part(A),DNA ligase from Escherichia coli (LigA) with PT7  RBS and His-tag,https://synbiohub.org/public/igem/BBa_K525710/1/gb,,iGEM11_Bielefeld-Germany,1
Plate 1,6M,BBa_K590034,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),FabH2,https://synbiohub.org/public/igem/BBa_K590034/1/gb,,iGEM11_Washington,1
Plate 1,6N,BBa_K608351,pSB1C3,chloramphenicol,OK,Composite,Bad Sequencing(A),(correct) temperature sensitive promoter,https://synbiohub.org/public/igem/BBa_K608351/1/gb,,iGEM11_Freiburg,1
Plate 1,6O,BBa_K576003,pSB1C3,chloramphenicol,OK,RNA,Confirmed(A),Left Part of Self-Excising Ribozyme,https://synbiohub.org/public/igem/BBa_K576003/1/gb,,iGEM11_Waterloo,1
Plate 1,6P,BBa_K564012,pSB1C3,chloramphenicol,OK,Measurement,Long part(A),promoter and RBS of E. coli chitoporin translationally fused with lacZ.,https://synbiohub.org/public/igem/BBa_K564012/1/gb,,iGEM11_DTU_Denmark,4
Plate 1,7A,BBa_K607035,pSB1C3,chloramphenicol,OK,DNA,Inconsistent(A),pUC18 replication origin,https://synbiohub.org/public/igem/BBa_K607035/1/gb,,iGEM11_Groningen,1
Plate 1,7B,BBa_K733008,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),<i>lytC</i> + linker + FLAG?,https://synbiohub.org/public/igem/BBa_K733008/1/gb,,iGEM12_HKUST_Hong_Kong,1
Plate 1,7C,BBa_K607038,pSB1C3,chloramphenicol,OK,Generator,Confirmed(A),Prm modified promoter generating GFP,https://synbiohub.org/public/igem/BBa_K607038/1/gb,,iGEM11_Groningen,5
Plate 1,7D,BBa_K733009,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),<i>Ptms</i>+BBa_E0240: <i>Ptms</i>+RBS+GFP+Double,https://synbiohub.org/public/igem/BBa_K733009/1/gb,,iGEM12_HKUST_Hong_Kong,5
Plate 1,7E,BBa_K515007,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),Dendra2,https://synbiohub.org/public/igem/BBa_K515007/1/gb,,iGEM11_Imperial_College_London,1
Plate 1,7F,BBa_K733010,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),<i>Ptms</i>+RBS+<i>ydcD</i>.,https://synbiohub.org/public/igem/BBa_K733010/1/gb,,iGEM12_HKUST_Hong_Kong,1
Plate 1,7G,BBa_K584000,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),pBAD + GFP generator,https://synbiohub.org/public/igem/BBa_K584000/1/gb,,iGEM11_KULeuven,5
Plate 1,7H,BBa_K733013,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),<i>Pveg</i>+R.B.S.,https://synbiohub.org/public/igem/BBa_K733013/1/gb,,iGEM12_HKUST_Hong_Kong,2
Plate 1,7I,BBa_K523008,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),INP for BioSandwich,https://synbiohub.org/public/igem/BBa_K523008/1/gb,,iGEM11_Edinburgh,1
Plate 1,7J,BBa_K733014,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),<i>Pveg</i>+RBS+<i>ydjM</i>+<i>Bmp2</i>,https://synbiohub.org/public/igem/BBa_K733014/1/gb,,iGEM12_HKUST_Hong_Kong,3
Plate 1,7K,BBa_K660610,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),RBS + RcsB,https://synbiohub.org/public/igem/BBa_K660610/1/gb,,iGEM11_GlasgowUni,2
Plate 1,7L,BBa_K733016,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),<i>Pveg</i>+RBS+<i>ydjM</i>+<i>Bmp2</i>+terminator,https://synbiohub.org/public/igem/BBa_K733016/1/gb,,iGEM12_HKUST_Hong_Kong,5
Plate 1,7M,BBa_K660004,pSB1C3,chloramphenicol,OK,Reporter,Confirmed(A),iLOV,https://synbiohub.org/public/igem/BBa_K660004/1/gb,,iGEM11_GlasgowUni,1
Plate 1,7N,BBa_K733017,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),<i>Pveg</i>+RBS+<i>ybdN</i>+<i>Bmp2</i>+terminator,https://synbiohub.org/public/igem/BBa_K733017/1/gb,,iGEM12_HKUST_Hong_Kong,5
Plate 1,7O,BBa_K545666,pSB1C3,chloramphenicol,OK,RBS,Confirmed(A),rpos leader sequence,https://synbiohub.org/public/igem/BBa_K545666/1/gb,name =4 . rpos,iGEM11_Grenoble,1
Plate 1,7P,BBa_K817002,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),PfadBA,https://synbiohub.org/public/igem/BBa_K817002/1/gb,,iGEM12_NTU-Taida,1
Plate 1,8A,BBa_K588001,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),ptrp,https://synbiohub.org/public/igem/BBa_K588001/1/gb,,iGEM11_Rutgers,1
Plate 1,8B,BBa_K564013,pSB1C3,chloramphenicol,OK,Measurement,Long part(A),Upstream mutated chitoporin part fused with lacZ,https://synbiohub.org/public/igem/BBa_K564013/1/gb,,iGEM11_DTU_Denmark,4
Plate 1,8C,BBa_K611010,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),LacI Repressor Characterization Construct,https://synbiohub.org/public/igem/BBa_K611010/1/gb,,iGEM11_UC_Davis,7
Plate 1,8D,BBa_K515100,pSB1C3,chloramphenicol,OK,Composite,Long part(A),IAA biosynthetic genes under control of the Pveg2 promoter,https://synbiohub.org/public/igem/BBa_K515100/1/gb,,iGEM11_Imperial_College_London,3
Plate 1,8E,BBa_K611018,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),Mutant Regulatory protein/promoter characterization plasmid,https://synbiohub.org/public/igem/BBa_K611018/1/gb,,iGEM11_UC_Davis,6
Plate 1,8F,BBa_K515102,pSB1C3,chloramphenicol,OK,Composite,Long part(A),J23100 promoter - PA2652,https://synbiohub.org/public/igem/BBa_K515102/1/gb,,iGEM11_Imperial_College_London,2
Plate 1,8G,BBa_K611025,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),LacI Promoter Variant #5,https://synbiohub.org/public/igem/BBa_K611025/1/gb,,iGEM11_UC_Davis,1
Plate 1,8H,BBa_K523013,pSB1C3,chloramphenicol,OK,Coding,Long part(A),Plac + INP-EYFP,https://synbiohub.org/public/igem/BBa_K523013/1/gb,,iGEM11_Edinburgh,1
